endpoint,name,methods,initial_outcome,effective_outcome,status_code,error_type,records,duration_seconds,note
/DESIGN/STEEL/KDS-41-30-2022/LTSR,Limiting Slenderness Ratio,"DELETE,GET,POST,PUT",success,success,,,0,0.1185,
/DESIGN/STEEL/KDS-41-30-2022/MBTP,Modify Member Type,"DELETE,GET,POST,PUT",success,success,,,0,0.1149,
/DESIGN/STEEL/KDS-41-30-2022/MEMB,Member Assignment,"DELETE,GET,PUT",success,success,,,0,0.1344,
/DESIGN/STEEL/KDS-41-30-2022/MLLR,Modify Live Load Reduction Factor,"DELETE,GET,POST,PUT",success,success,,,0,0.0899,
/DESIGN/STEEL/KDS-41-30-2022/SERV,Serviceability Parameters,"DELETE,GET,POST,PUT",success,success,,,0,0.0982,
/DESIGN/STEEL/KDS-41-30-2022/SLRS,Seismic Load Resisting System by Member,"DELETE,GET,POST,PUT",success,success,,,0,0.0994,
/DESIGN/STEEL/KDS-41-30-2022/SMODI,Modify Steel Material,"DELETE,GET,PUT",success,success,,,1,0.0902,
/DESIGN/STEEL/KDS-41-30-2022/SRDF,Strength Reduction Factors,"DELETE,GET,PUT",success,success,,,0,0.0946,
/DESIGN/STEEL/KDS-41-30-2022/SUEQ,Scale up Factor for Earthquake,"DELETE,GET,POST,PUT",success,success,,,0,0.0934,
/DESIGN/STEEL/KDS-41-30-2022/ULCT,Underground Load Combination Type,"DELETE,GET,POST,PUT",error,error,404,MidasNotFoundError,,0.0919,GET and /info both returned 404.
/db/ACTL,Main Control Data,"DELETE,GET,POST,PUT",success,success,,,1,0.0876,
/db/ACTL-M1,Main Control Data (Hyper-S),"DELETE,GET,PUT",success,success,,,1,0.1056,
/db/BCCT,Boundary Change Assignment,"DELETE,GET,POST,PUT",success,success,,,0,0.1497,
/db/BCGA-M1,Assign Boundary Combination (Hyper-S),"DELETE,GET,POST,PUT",success,success,,,0,0.1018,
/db/BCGD-M1,Define Boundary Combination (Hyper-S),"DELETE,GET,POST,PUT",success,success,,,0,0.0788,
/db/BMLD,Beam Loads,"DELETE,GET,POST,PUT",success,success,,,0,0.1047,
/db/BNGR,Boundary Group,"GET,POST,PUT",success,success,,,0,0.1109,
/db/BODF,Self-Weight,"DELETE,GET,POST,PUT",success,success,,,1,0.1108,
/db/BTMP,Beam Section Temperature,"DELETE,GET,POST,PUT",success,success,,,0,0.1003,
/db/BUCK,Buckling Analysis Control,"DELETE,GET,POST,PUT",success,success,,,0,0.0895,
/db/CAMB,FCM Camber Control,"DELETE,GET,POST,PUT",success,success,,,0,0.0879,
/db/CCFC,Convection Coefficient Functions,"DELETE,GET,POST,PUT",success,success,,,0,0.0929,
/db/CGLP,Change General Link Property,"DELETE,GET,POST,PUT",success,success,,,0,0.0806,
/db/CJFG,Concurrent Joint Force Group,"DELETE,GET,POST,PUT",success,success,,,0,0.1002,
/db/CLDR,Define Constraints Label Direction,"GET,POST,PUT",success,success,,,0,0.1038,
/db/CLWP,Plate Cutting Line Diagram,"DELETE,GET,POST,PUT",success,success,,,0,0.113,
/db/CMCS,Camber for Construction Stage,"DELETE,GET,POST,PUT",success,success,,,0,0.1072,
/db/CNLD,Nodal Loads,"DELETE,GET,POST,PUT",success,success,,,0,0.32,
/db/CONS,Constraint Support,"DELETE,GET,POST,PUT",success,success,,,3,0.1054,
/db/CO_F,Floor Load Color,"GET,PUT",success,success,,,0,0.102,
/db/CO_M,Material Color,"GET,PUT",success,success,,,1,0.0918,
/db/CO_S,Section Color,"GET,PUT",success,success,,,1,0.1171,
/db/CO_T,Thickness Color,"GET,PUT",success,success,,,0,0.1524,
/db/CRGR,Concurrent Reaction Group,"DELETE,GET,POST,PUT",success,success,,,0,0.1143,
/db/CRPC,Creep Coefficient for Construction Stage,"DELETE,GET,POST,PUT",success,success,,,0,0.1172,
/db/CSCS,Composite Section for Construction Stage,"DELETE,GET,POST,PUT",success,success,,,0,0.105,
/db/CUTL,Cutting Line,"DELETE,GET,POST,PUT",success,success,,,0,0.1031,
/db/DCON,RC Design Code,"DELETE,GET,POST,PUT",success,success,,,0,0.0917,
