endpoint,name,methods,outcome,status_code,error_type,records,duration_seconds,note
/DESIGN/RC/KDS-41-20-2022/REXC,Rebar Exposure Condition,"DELETE,GET,POST,PUT",success,,,0,0.1012,
/DESIGN/RC/KDS-41-20-2022/SCOL,Seismic Column Type,"DELETE,GET,POST,PUT",success,,,0,0.0806,
/DESIGN/RC/KDS-41-20-2022/SDGN,Seismic Design Type,"DELETE,GET,POST,PUT",success,,,0,0.0827,
/DESIGN/RC/KDS-41-20-2022/SRDF,Strength Reduction Factors,"DELETE,GET,PUT",success,,,0,0.0908,
/DESIGN/RC/KDS-41-20-2022/SUEQ,Scale up Factor for Earthquake,"DELETE,GET,POST,PUT",success,,,0,0.091,
/DESIGN/RC/KDS-41-20-2022/TRFT,Torsion Reduction Factor,"DELETE,GET,POST,PUT",success,,,0,0.0803,
/DESIGN/RC/KDS-41-20-2022/ULCT,Underground Load Combination Type,"DELETE,GET,POST,PUT",success,,,0,0.0878,
/DESIGN/RC/KDS-41-20-2022/WMAK,Modify Wall Mark Data,"DELETE,GET,POST,PUT",success,,,0,0.0804,
/DESIGN/SRC/AIK-SRC2K/CMFT,Equivalent Moment Correction Factor,"DELETE,GET,POST,PUT",success,,,0,0.0915,
/DESIGN/SRC/AIK-SRC2K/DCO,Design Code Option,"DELETE,GET,PUT",success,,,0,0.0805,
/DESIGN/SRC/AIK-SRC2K/DCTL,Definition of Frame,"DELETE,GET,PUT",success,,,0,0.11,
/DESIGN/SRC/AIK-SRC2K/EQCT,Seismic Load Combination Type,"DELETE,GET,POST,PUT",success,,,0,0.0872,
/DESIGN/SRC/AIK-SRC2K/FMAG,Moment Magnifier,"DELETE,GET,POST,PUT",success,,,0,0.1183,
/DESIGN/SRC/AIK-SRC2K/KFAC,Effective Length Factor,"DELETE,GET,POST,PUT",success,,,0,0.0444,
/DESIGN/SRC/AIK-SRC2K/LCTB,Load Contribution for Nonlinear Load Case,"DELETE,GET",success,,,0,0.0876,
/DESIGN/SRC/AIK-SRC2K/LENG,Unbraced Length,"DELETE,GET,POST,PUT",success,,,0,0.0997,
/DESIGN/SRC/AIK-SRC2K/LLRF,Live Load Reduction Factor,"DELETE,GET,PUT",success,,,0,0.0919,
/DESIGN/SRC/AIK-SRC2K/LTSR,Limiting Slenderness Ratio,"DELETE,GET,POST,PUT",success,,,0,0.0911,
/DESIGN/SRC/AIK-SRC2K/MATD,SRC Modify Material,"DELETE,GET,PUT",success,,,0,0.0919,
/DESIGN/SRC/AIK-SRC2K/MBTP,Modify Member Type,"DELETE,GET,POST,PUT",success,,,0,0.0972,
/DESIGN/SRC/AIK-SRC2K/MCRD,SRC Column Section Data,"DELETE,GET,POST,PUT",success,,,0,0.0933,
